Leaderboard:

     model                          score_test    score_val  eval_metric      pred_time_test    pred_time_val      fit_time    pred_time_test_marginal    pred_time_val_marginal    fit_time_marginal    stack_level  can_infer      fit_order
108  ExtraTrees_r178_BAG_L1       -0.902947      -1.27712    log_loss             0.0698271        0.101344      0.58507                    0.0698271                 0.101344             0.58507                 1  True                  61
109  LightGBM_r161_BAG_L1         -1.42797       -1.67014    log_loss             0.204931         0.0136418     5.56424                    0.204931                  0.0136418            5.56424                 1  True                  33
110  ExtraTrees_r4_BAG_L1         -1.48163       -1.84732    log_loss             0.051517         0.111919      0.659427                   0.051517                  0.111919             0.659427                1  True                  54
111  RandomForest_r34_BAG_L1      -1.48163       -1.84732    log_loss             0.0564349        0.104039      0.51744                    0.0564349                 0.104039             0.51744                 1  True                  49
112  RandomForest_r34_BAG_L2      -1.48163       -1.84732    log_loss            19.3415           3.74091     223.807                      0.052541                  0.0978031            0.655077                2  True                 138
113  ExtraTrees_r4_BAG_L2         -1.48163       -1.84732    log_loss            19.3594           3.7512      223.825                      0.0704131                 0.108089             0.67229                 2  True                 143
114  LightGBM_BAG_L1              -1.48312       -1.72584    log_loss             0.00648499       0.00671625    1.06772                    0.00648499                0.00671625           1.06772                 1  True                   5
115  LightGBM_r96_BAG_L1          -1.48312       -1.72584    log_loss             0.00675917       0.00626612    1.0236                     0.00675917                0.00626612           1.0236                  1  True                  16
116  LightGBM_r131_BAG_L1         -1.48312       -1.72584    log_loss             0.00708199       0.00595021    1.0199                     0.00708199                0.00595021           1.0199                  1  True                  14
117  LightGBMXT_BAG_L1            -1.48312       -1.72584    log_loss             0.00710702       0.0071373     1.58694                    0.00710702                0.0071373            1.58694                 1  True                   4
118  LightGBM_r30_BAG_L1          -1.48312       -1.72584    log_loss             0.00721622       0.00640488    1.04667                    0.00721622                0.00640488           1.04667                 1  True                  57
119  LightGBM_r94_BAG_L1          -1.48312       -1.72584    log_loss             0.00750899       0.00577259    1.01081                    0.00750899                0.00577259           1.01081                 1  True                  50
120  LightGBM_r130_BAG_L1         -1.48312       -1.72584    log_loss             0.00751472       0.00609803    1.07696                    0.00751472                0.00609803           1.07696                 1  True                  26
121  LightGBM_r42_BAG_L1          -1.48312       -1.72584    log_loss             0.00844693       0.00500464    1.02683                    0.00844693                0.00500464           1.02683                 1  True                  88
122  LightGBM_r135_BAG_L1         -1.48312       -1.72584    log_loss             0.00901818       0.00582147    1.05498                    0.00901818                0.00582147           1.05498                 1  True                  67
123  LightGBM_r143_BAG_L1         -1.48312       -1.72584    log_loss             0.00946593       0.00660396    1.03197                    0.00946593                0.00660396           1.03197                 1  True                  46
124  LightGBM_BAG_L2              -1.48312       -1.72584    log_loss            19.3076           3.65768     224.948                      0.0186577                 0.0145688            1.7958                  2  True                  94
125  LightGBMXT_BAG_L2            -1.48312       -1.72584    log_loss            19.3081           3.65713     224.786                      0.0191212                 0.0140216            1.63343                 2  True                  93
126  LightGBM_r96_BAG_L2          -1.48312       -1.72584    log_loss            19.3088           3.65751     224.758                      0.0198159                 0.0143993            1.60583                 2  True                 105
