Gen	theta_1ABCDEF	theta_2GHIJKLM	theta_3NOPRTUV	theta_8ABCDEFNOPRTUVSXZGHIJKLMY	theta_9ABCDEFNOPRTUVSXZ	theta_10NOPRTUVSXZ	theta_11NOPRTUVS	theta_12XZ	theta_13GHIJKLMY	tau_8ABCDEFNOPRTUVSXZGHIJKLMY	tau_9ABCDEFNOPRTUVSXZ	tau_10NOPRTUVSXZ	tau_11NOPRTUVS	tau_12XZ	tau_13GHIJKLMY	lnL
9200	0.001706	0.001086	0.005780	0.004422	0.003942	0.001409	0.001839	0.001899	0.004280	0.008774	0.008194	0.007362	0.004200	0.002738	0.004328	-4690.140
9300	0.001125	0.004095	0.007061	0.002581	0.002789	0.001068	0.004711	0.003073	0.003513	0.009324	0.008385	0.007347	0.004120	0.002831	0.006539	-4696.347
9400	0.000971	0.001011	0.006033	0.005830	0.006159	0.001012	0.003417	0.001484	0.002446	0.007825	0.006098	0.005298	0.002810	0.004697	0.005938	-4705.385
9500	0.000861	0.001000	0.008334	0.004775	0.010152	0.002553	0.002711	0.001835	0.002128	0.007530	0.006279	0.005993	0.003507	0.002000	0.006803	-4697.777
9600	0.001974	0.000958	0.008604	0.004539	0.003332	0.002565	0.001574	0.002649	0.003476	0.008465	0.007992	0.005583	0.003386	0.003929	0.006165	-4688.741
9700	0.000786	0.000868	0.007544	0.005843	0.001557	0.002033	0.002809	0.001236	0.001169	0.010590	0.009220	0.007579	0.003527	0.005605	0.009503	-4697.153
9800	0.001062	0.001881	0.004950	0.004536	0.001375	0.002023	0.001328	0.004833	0.004419	0.011754	0.011701	0.007665	0.002115	0.004160	0.007891	-4698.802
9900	0.001088	0.000904	0.006139	0.004035	0.000878	0.006367	0.000978	0.003889	0.003403	0.007928	0.007727	0.004642	0.003870	0.003640	0.006577	-4695.071
10000	0.001467	0.001691	0.006324	0.002964	0.006657	0.001376	0.002000	0.002879	0.002666	0.008632	0.008623	0.006383	0.003889	0.004466	0.003140	-4702.474
10100	0.001016	0.001607	0.007651	0.005816	0.001778	0.001680	0.001221	0.002867	0.004451	0.009392	0.009078	0.004728	0.003268	0.004285	0.008642	-4705.763
